HV106_01,HV001,HV021,HV024,HV025,HV022,HV005,HV234,SH224,HV270
Superior,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Medio
"Sin educación, preescolar",1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Secundario,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,1,1,Amazonas,Urbano,3,532968,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,1,1,Amazonas,Urbano,3,532968,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,1,1,Amazonas,Urbano,3,103273,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,2,2,Amazonas,Urbano,1,451281,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,2,2,Amazonas,Urbano,1,451281,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,2,2,Amazonas,Urbano,1,451281,No se realizó la prueba,No se pudo realizar la prueba,Rico
Primario,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Rico
Primario,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Superior,2,2,Amazonas,Urbano,1,87445,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,3,3,Amazonas,Urbano,4,731258,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Medio
Primario,3,3,Amazonas,Urbano,4,731258,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,3,3,Amazonas,Urbano,4,141696,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,4,4,Amazonas,Urbano,2,126749,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,4,4,Amazonas,Urbano,2,654119,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,4,4,Amazonas,Urbano,2,126749,0 PPM (sin yodo),Sin coloracion (valor,Rico
Superior,4,4,Amazonas,Urbano,2,654119,30 PPM,Coloracion morado oscuro (valor,Más rico
Secundario,4,4,Amazonas,Urbano,2,126749,15 PPM,Coloracion azul o morado (valor,Pobre
Primario,4,4,Amazonas,Urbano,2,654119,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,4,4,Amazonas,Urbano,2,126749,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,5,5,Amazonas,Urbano,2,117533,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,5,5,Amazonas,Urbano,2,606562,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Secundario,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Más rico
Superior,5,5,Amazonas,Urbano,2,606562,No hay sal en el hogar,No hay sal en el hogar,Medio
Superior,5,5,Amazonas,Urbano,2,606562,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,5,5,Amazonas,Urbano,2,117533,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Secundario,5,5,Amazonas,Urbano,2,117533,30 PPM,Coloracion morado oscuro (valor,Rico
Superior,5,5,Amazonas,Urbano,2,606562,15 PPM,Coloracion azul o morado (valor,Rico
Superior,6,6,Amazonas,Urbano,2,751663,7 PPM,Coloracion tenue (valor,Pobre
Superior,6,6,Amazonas,Urbano,2,751663,No hay sal en el hogar,No hay sal en el hogar,Medio
Superior,6,6,Amazonas,Urbano,2,145650,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,6,6,Amazonas,Urbano,2,145650,0 PPM (sin yodo),Sin coloracion (valor,Medio
Secundario,6,6,Amazonas,Urbano,2,751663,No hay sal en el hogar,No hay sal en el hogar,Los más pobres
Superior,6,6,Amazonas,Urbano,2,145650,30 PPM,Coloracion morado oscuro (valor,Rico
Superior,6,6,Amazonas,Urbano,2,751663,15 PPM,Coloracion azul o morado (valor,Medio
Superior,6,6,Amazonas,Urbano,2,145650,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,6,6,Amazonas,Urbano,2,145650,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,7,7,Amazonas,Urbano,4,136837,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,7,7,Amazonas,Urbano,4,706183,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Superior,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,8,8,Amazonas,Urbano,9,816591,No hay sal en el hogar,No hay sal en el hogar,Pobre
Superior,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,8,8,Amazonas,Urbano,9,134039,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,8,8,Amazonas,Urbano,9,816591,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,9,9,Amazonas,Urbano,9,119048,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,9,9,Amazonas,Urbano,9,725264,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,10,10,Amazonas,Urbano,8,764759,No hay sal en el hogar,No hay sal en el hogar,Pobre
Secundario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,10,10,Amazonas,Urbano,8,125531,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Superior,10,10,Amazonas,Urbano,8,125531,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,10,10,Amazonas,Urbano,8,125531,15 PPM,Coloracion azul o morado (valor,Pobre
Primario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,10,10,Amazonas,Urbano,8,125531,30 PPM,Coloracion morado oscuro (valor,Medio
Secundario,10,10,Amazonas,Urbano,8,764759,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,11,11,Amazonas,Urbano,8,754954,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,11,11,Amazonas,Urbano,8,754954,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,11,11,Amazonas,Urbano,8,754954,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,11,11,Amazonas,Urbano,8,123922,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,12,12,Amazonas,Urbano,6,807268,30 PPM,Coloracion morado oscuro (valor,Más rico
Superior,12,12,Amazonas,Urbano,6,132509,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,12,12,Amazonas,Urbano,6,132509,7 PPM,Coloracion tenue (valor,Pobre
Superior,12,12,Amazonas,Urbano,6,132509,7 PPM,Coloracion tenue (valor,Rico
Superior,12,12,Amazonas,Urbano,6,807268,7 PPM,Coloracion tenue (valor,Rico
Superior,12,12,Amazonas,Urbano,6,132509,15 PPM,Coloracion azul o morado (valor,Medio
"Sin educación, preescolar",12,12,Amazonas,Urbano,6,807268,7 PPM,Coloracion tenue (valor,Pobre
Primario,12,12,Amazonas,Urbano,6,132509,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,12,12,Amazonas,Urbano,6,132509,15 PPM,Coloracion azul o morado (valor,Rico
Secundario,12,12,Amazonas,Urbano,6,807268,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,13,13,Amazonas,Urbano,9,858221,15 PPM,Coloracion azul o morado (valor,Rico
Superior,13,13,Amazonas,Urbano,9,140872,15 PPM,Coloracion azul o morado (valor,Pobre
Superior,13,13,Amazonas,Urbano,9,140872,0 PPM (sin yodo),Sin coloracion (valor,Medio
Secundario,13,13,Amazonas,Urbano,9,140872,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,13,13,Amazonas,Urbano,9,140872,15 PPM,Coloracion azul o morado (valor,Medio
Secundario,13,13,Amazonas,Urbano,9,140872,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,13,13,Amazonas,Urbano,9,140872,15 PPM,Coloracion azul o morado (valor,Pobre
Superior,13,13,Amazonas,Urbano,9,140872,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,14,14,Amazonas,Urbano,7,129497,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,14,14,Amazonas,Urbano,7,129497,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,14,14,Amazonas,Urbano,7,788920,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,14,14,Amazonas,Urbano,7,129497,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,14,14,Amazonas,Urbano,7,788920,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Superior,14,14,Amazonas,Urbano,7,788920,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Superior,14,14,Amazonas,Urbano,7,129497,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,14,14,Amazonas,Urbano,7,129497,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,14,14,Amazonas,Urbano,7,788920,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,14,14,Amazonas,Urbano,7,129497,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,15,15,Amazonas,Urbano,6,139221,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Secundario,15,15,Amazonas,Urbano,6,139221,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,15,15,Amazonas,Urbano,6,848158,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,15,15,Amazonas,Urbano,6,848158,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Secundario,15,15,Amazonas,Urbano,6,139221,No se realizó la prueba,No se pudo realizar la prueba,Medio
Primario,15,15,Amazonas,Urbano,6,139221,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,15,15,Amazonas,Urbano,6,848158,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,16,16,Amazonas,Urbano,8,139465,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,16,16,Amazonas,Urbano,8,139465,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,16,16,Amazonas,Urbano,8,139465,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,16,16,Amazonas,Urbano,8,139465,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,16,16,Amazonas,Urbano,8,139465,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,16,16,Amazonas,Urbano,8,849647,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,16,16,Amazonas,Urbano,8,849647,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,16,16,Amazonas,Urbano,8,849647,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,16,16,Amazonas,Urbano,8,849647,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,17,17,Amazonas,Urbano,7,731076,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,17,17,Amazonas,Urbano,7,731076,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,17,17,Amazonas,Urbano,7,120002,No se realizó la prueba,No se pudo realizar la prueba,Rico
Primario,17,17,Amazonas,Urbano,7,731076,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,17,17,Amazonas,Urbano,7,120002,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,17,17,Amazonas,Urbano,7,731076,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,17,17,Amazonas,Urbano,7,120002,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,17,17,Amazonas,Urbano,7,120002,No se realizó la prueba,No se pudo realizar la prueba,Más rico
Primario,17,17,Amazonas,Urbano,7,731076,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,17,17,Amazonas,Urbano,7,120002,No se realizó la prueba,No se pudo realizar la prueba,Rico
Secundario,18,18,Amazonas,Urbano,7,135686,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,18,18,Amazonas,Urbano,7,135686,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,18,18,Amazonas,Urbano,7,135686,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,18,18,Amazonas,Urbano,7,826625,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,18,18,Amazonas,Urbano,7,135686,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,18,18,Amazonas,Urbano,7,135686,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,18,18,Amazonas,Urbano,7,135686,7 PPM,Coloracion tenue (valor,Pobre
Superior,18,18,Amazonas,Urbano,7,135686,15 PPM,Coloracion azul o morado (valor,Medio
Secundario,18,18,Amazonas,Urbano,7,135686,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,18,18,Amazonas,Urbano,7,135686,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,19,19,Amazonas,Urbano,8,769129,30 PPM,Coloracion morado oscuro (valor,Medio
Secundario,19,19,Amazonas,Urbano,8,126248,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,19,19,Amazonas,Urbano,8,769129,30 PPM,Coloracion morado oscuro (valor,Medio
Secundario,19,19,Amazonas,Urbano,8,769129,No hay sal en el hogar,No hay sal en el hogar,Pobre
Superior,19,19,Amazonas,Urbano,8,126248,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,19,19,Amazonas,Urbano,8,126248,30 PPM,Coloracion morado oscuro (valor,Medio
Superior,19,19,Amazonas,Urbano,8,126248,30 PPM,Coloracion morado oscuro (valor,Rico
Secundario,19,19,Amazonas,Urbano,8,126248,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,19,19,Amazonas,Urbano,8,769129,30 PPM,Coloracion morado oscuro (valor,Rico
Primario,20,20,Amazonas,Urbano,8,688283,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,20,20,Amazonas,Urbano,8,688283,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,20,20,Amazonas,Urbano,8,688283,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,20,20,Amazonas,Urbano,8,112978,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,20,20,Amazonas,Urbano,8,112978,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,20,20,Amazonas,Urbano,8,688283,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,20,20,Amazonas,Urbano,8,112978,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,20,20,Amazonas,Urbano,8,112978,No se realizó la prueba,No se pudo realizar la prueba,Medio
Superior,20,20,Amazonas,Urbano,8,112978,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,20,20,Amazonas,Urbano,8,688283,No se realizó la prueba,No se pudo realizar la prueba,Medio
Primario,21,21,Amazonas,Urbano,9,95126,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,21,21,Amazonas,Urbano,9,95126,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,21,21,Amazonas,Urbano,9,95126,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,21,21,Amazonas,Urbano,9,95126,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,21,21,Amazonas,Urbano,9,95126,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,21,21,Amazonas,Urbano,9,579523,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,21,21,Amazonas,Urbano,9,95126,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,21,21,Amazonas,Urbano,9,579523,0 PPM (sin yodo),Sin coloracion (valor,Los más pobres
"Sin educación, preescolar",21,21,Amazonas,Urbano,9,95126,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Superior,22,22,Amazonas,Urbano,8,129332,No se realizó la prueba,No se pudo realizar la prueba,Rico
Superior,22,22,Amazonas,Urbano,8,787917,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,22,22,Amazonas,Urbano,8,787917,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,22,22,Amazonas,Urbano,8,787917,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,22,22,Amazonas,Urbano,8,129332,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Secundario,22,22,Amazonas,Urbano,8,129332,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Superior,22,22,Amazonas,Urbano,8,129332,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,22,22,Amazonas,Urbano,8,787917,No se realizó la prueba,No se pudo realizar la prueba,Pobre
"Sin educación, preescolar",22,22,Amazonas,Urbano,8,129332,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Superior,22,22,Amazonas,Urbano,8,129332,No se realizó la prueba,No se pudo realizar la prueba,Medio
Secundario,23,23,Amazonas,Urbano,8,136205,No hay sal en el hogar,No hay sal en el hogar,Pobre
Secundario,23,23,Amazonas,Urbano,8,136205,0 PPM (sin yodo),Sin coloracion (valor,Los más pobres
Secundario,23,23,Amazonas,Urbano,8,136205,30 PPM,Coloracion morado oscuro (valor,Medio
Secundario,23,23,Amazonas,Urbano,8,829789,No hay sal en el hogar,No hay sal en el hogar,Pobre
Secundario,23,23,Amazonas,Urbano,8,829789,7 PPM,Coloracion tenue (valor,Pobre
Superior,23,23,Amazonas,Urbano,8,136205,7 PPM,Coloracion tenue (valor,Rico
Superior,23,23,Amazonas,Urbano,8,136205,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,23,23,Amazonas,Urbano,8,136205,15 PPM,Coloracion azul o morado (valor,Medio
Superior,23,23,Amazonas,Urbano,8,136205,15 PPM,Coloracion azul o morado (valor,Pobre
Primario,24,24,Amazonas,Urbano,9,120251,30 PPM,Coloracion morado oscuro (valor,Medio
Secundario,24,24,Amazonas,Urbano,9,120251,15 PPM,Coloracion azul o morado (valor,Pobre
Primario,24,24,Amazonas,Urbano,9,732590,15 PPM,Coloracion azul o morado (valor,Pobre
Primario,24,24,Amazonas,Urbano,9,732590,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,24,24,Amazonas,Urbano,9,120251,7 PPM,Coloracion tenue (valor,Medio
Secundario,24,24,Amazonas,Urbano,9,120251,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,24,24,Amazonas,Urbano,9,120251,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Secundario,24,24,Amazonas,Urbano,9,120251,7 PPM,Coloracion tenue (valor,Pobre
Secundario,24,24,Amazonas,Urbano,9,120251,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,25,25,Amazonas,Urbano,8,121934,30 PPM,Coloracion morado oscuro (valor,Medio
Secundario,25,25,Amazonas,Urbano,8,121934,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,25,25,Amazonas,Urbano,8,121934,No hay sal en el hogar,No hay sal en el hogar,Los más pobres
Secundario,25,25,Amazonas,Urbano,8,121934,7 PPM,Coloracion tenue (valor,Pobre
Secundario,25,25,Amazonas,Urbano,8,121934,15 PPM,Coloracion azul o morado (valor,Medio
Secundario,25,25,Amazonas,Urbano,8,742845,30 PPM,Coloracion morado oscuro (valor,Más rico
Primario,25,25,Amazonas,Urbano,8,121934,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,25,25,Amazonas,Urbano,8,742845,30 PPM,Coloracion morado oscuro (valor,Rico
Primario,25,25,Amazonas,Urbano,8,742845,7 PPM,Coloracion tenue (valor,Los más pobres
Secundario,26,26,Amazonas,Urbano,8,123973,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Secundario,26,26,Amazonas,Urbano,8,123973,15 PPM,Coloracion azul o morado (valor,Pobre
Superior,26,26,Amazonas,Urbano,8,123973,15 PPM,Coloracion azul o morado (valor,Rico
Secundario,26,26,Amazonas,Urbano,8,123973,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,26,26,Amazonas,Urbano,8,755269,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,26,26,Amazonas,Urbano,8,123973,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,26,26,Amazonas,Urbano,8,755269,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,26,26,Amazonas,Urbano,8,755269,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,26,26,Amazonas,Urbano,8,123973,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,26,26,Amazonas,Urbano,8,123973,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Secundario,27,27,Amazonas,Urbano,7,111951,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,27,27,Amazonas,Urbano,7,111951,0 PPM (sin yodo),Sin coloracion (valor,Rico
Secundario,27,27,Amazonas,Urbano,7,111951,30 PPM,Coloracion morado oscuro (valor,Medio
Primario,27,27,Amazonas,Urbano,7,111951,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,27,27,Amazonas,Urbano,7,111951,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,27,27,Amazonas,Urbano,7,111951,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,27,27,Amazonas,Urbano,7,682029,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,27,27,Amazonas,Urbano,7,111951,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,28,28,Amazonas,Urbano,8,150929,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,28,28,Amazonas,Urbano,8,150929,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Primario,28,28,Amazonas,Urbano,8,919489,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Secundario,28,28,Amazonas,Urbano,8,919489,15 PPM,Coloracion azul o morado (valor,Los más pobres
Superior,28,28,Amazonas,Urbano,8,150929,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Superior,28,28,Amazonas,Urbano,8,919489,30 PPM,Coloracion morado oscuro (valor,Pobre
Superior,28,28,Amazonas,Urbano,8,150929,30 PPM,Coloracion morado oscuro (valor,Pobre
Primario,28,28,Amazonas,Urbano,8,919489,15 PPM,Coloracion azul o morado (valor,Los más pobres
Secundario,28,28,Amazonas,Urbano,8,919489,30 PPM,Coloracion morado oscuro (valor,Los más pobres
Superior,28,28,Amazonas,Urbano,8,919489,30 PPM,Coloracion morado oscuro (valor,Pobre
Secundario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,505857,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,505857,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,29,29,Amazonas,Rural,10,505857,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Superior,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Pobre
Primario,29,29,Amazonas,Rural,10,505857,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,29,29,Amazonas,Rural,10,163806,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,30,30,Amazonas,Rural,10,158405,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Secundario,30,30,Amazonas,Rural,10,489176,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
Primario,30,30,Amazonas,Rural,10,489176,No se realizó la prueba,No se pudo realizar la prueba,Los más pobres
